brand,date,rating,review_text
ShinyWhite,2023-01-15,5,"Absolutely love this toothpaste! My teeth are noticeably whiter after just a week. Great taste too."
ShinyWhite,2023-01-20,4,"Good whitening effect, but the flavor is a bit too strong for me. Sensitivity is fine."
ShinyWhite,2023-02-05,5,"Best whitening paste on the market. I've tried them all. ShinyWhite is the real deal."
ShinyWhite,2023-03-10,2,"Made my teeth very sensitive. Validated the whitening claim, but at what cost?"
ShinyWhite,2023-03-12,5,"Excellent results. My dentist asked what I was using."
FreshMint,2023-01-10,3,"It's okay. Tastes fresh but didn't see much whitening. Good for daily use though."
FreshMint,2023-02-15,4,"Decent toothpaste. Fresh breath lasts a long time. No sensitivity issues."
FreshMint,2023-03-01,1,"Terrible texture, feels gritty. Won't buy again."
FreshMint,2023-03-20,5,"Love the minty flavor! Leaves my mouth feeling super clean."
FreshMint,2023-04-05,4,"Good value for money. Does the job."
EcoClean,2023-01-05,5,"Love that it's natural ingredients. Tastes a bit earthy but I got used to it."
EcoClean,2023-02-28,2,"The tube broke after two uses. Product is okay but packaging needs work."
EcoClean,2023-03-15,5,"Finally a natural toothpaste that actually cleans! Highly recommend."
EcoClean,2023-04-10,3,"It's expensive for what it is. I prefer ShinyWhite for results."
EcoClean,2023-04-25,4,"Good eco-friendly option. Recyclable tube is a plus."
